皇帝 帝皇
微音器 消音器
大十字军东征 大远征
十字军东征 大远征
绿皮人 绿皮
军团成员 军团士兵
星际战士员 星际战士
太空人 星际战士
白痕 白疤
锅盔 头盔
姐妹 修女
奥美根 欧米伽
奥米贡 欧米伽
Omegon 欧米伽
奥梅贡 欧米伽
谢德 西德
厄西努斯 尤西努斯
埃奇昂 埃奇恩
埃奇翁 埃奇恩
阿瓦士 亚瓦斯
阿瓦斯 亚瓦斯
亚尼奇 詹尼克
雅尼克 詹尼克
亚尼克 詹尼克
天幕 特尼布雷
坦纳布拉 Tenebrae
坦布拉 Tenebrae
Tenebrae 特尼布雷
特纳布里 特尼布雷
汀布莱 特尼布雷
特恩布拉 特尼布雷
伊西铎 伊西多尔
伊斯达 伊西多尔
阿坎 阿肯
克雷特 克莱特
克拉特 克莱特
克拉伊特 克莱特
沃利昂 沃利安
沃里昂 沃利安
军团长 沃利安
沃利恩 沃利安
布拉克苏斯 巴拉克斯
布拉修斯 巴拉克斯
赞缇恩 赞廷
查米安 查尔米安
查米恩 查尔米安
维米斯 韦尔梅斯
华美斯 韦尔梅斯
塔克斯 塔尔奎斯
沃尔克恩 沃尔肯
奥古拉莫斯 奥古拉姆斯
奥古拉马斯 奥古拉姆斯
奥古拉默斯 奥古拉姆斯
恩皮尔 Empyr
工匠Empyr 漩涡工匠
异种 异形
斯巴达克人 斯巴达克斯人
斯巴达克军官 斯巴达克斯军官
斯巴突西特 斯巴达克斯
巫妖 巫师
图书管理员 智库
唱诗班 合唱团
星语者合唱团 星语合唱团
天体术士合唱团 星语合唱团
天体心灵感应 星语
天体病理 星语
天体装置 星语装置
天体术士 星语者
天文学家 星语者
天体疗法者 星语者
天体师 星语者
天体网络 星语网络
天体通讯 星语通讯
斯基塔利 斯基塔瑞
战略统帅 策略长
心灵感应者 灵能者
螺栓孔 弹孔
乌普西龙 Upsilon
乌普西隆 Upsilon
宇普西隆 Upsilon
宇普西龙 Upsilon
伊普西隆 Upsilon
厄普西隆 Upsilon
