皇帝 帝皇
皇统之城 完美之城
志高之城 完美之城
卡尔斯 考斯
传道者 怀言者
磷化剂 磷化武器
磷化氢 磷化武器
阿格瑞吉乌斯 阿格瑞吉斯
阿卡姆斯 阿卡穆斯
埃卡斯 埃库斯
达勒・阿赫 达勒阿赫
达勒..阿赫 达勒阿赫
达勒.阿赫 达勒阿赫
达勒.阿赫克 达勒阿赫
达尔阿赫克 达勒阿赫
达勒阿赫克 达勒阿赫
信号总管 信号大师
德西莫斯 德西姆斯
德西姆 德西姆斯
德西乌斯 德西姆斯
德西姆斯斯 德西姆斯
地窖管理员 智库
地窖书管理员 智库
多思 洛斯
罗思 洛斯
罗斯 洛斯
洛思 洛斯
洛斯 洛斯
瑞思 洛斯
瑞斯 洛斯
贾鲁勒克 扎鲁拉克
贾鲁莱克 扎鲁拉克
亚鲁列克 扎鲁拉克
亚鲁莱克 扎鲁拉克
雅鲁莱克 扎鲁拉克
雅鲁勒克 扎鲁拉克
雅鲁列克 扎鲁拉克
雅路勒克 扎鲁拉克
克罗洛斯 科罗洛斯
克罗斯 科罗洛斯
克洛丝 科罗洛斯
藐视者 蔑视者
纳尔索克 纳克索尔
索尔.塔尔格隆 索尔-塔尔格伦
索尔.塔尔格伦 索尔-塔尔格伦
索尔.塔格隆 索尔-塔尔格伦
索尔塔格隆 索尔-塔尔格伦
塔尔格隆 塔尔格伦
塔尔隆 塔尔格伦
塔格隆 塔尔格伦
塔格伦 塔尔格伦
泰尔格隆 塔尔格伦
泰格隆 塔尔格伦
托格隆 塔尔格伦
索伦汀 索隆廷
索伦廷 索隆廷
泰拉哈斯 特拉喀斯
特拉卡斯 特拉喀斯
维多利斯 维多里乌斯
亚库斯 埃库斯
沃尔哈尔 沃尔哈
沃尔卡 沃尔哈
沃尔卡尔 沃尔哈
沃尔卡尔.沃斯 沃尔哈-韦尔斯
沃尔思 韦尔斯
沃尔斯 韦尔斯
沃卡尔 沃尔哈
沃尔卡 沃尔哈
沃斯 韦尔斯
蒂勒斯 提勒斯
