阿兹卡隆 阿兹凯隆
厄瑞巴斯 艾瑞巴斯
波卢克斯 波拉克斯
泼拉克斯 波拉克斯
索伦 索隆
克伦基尔 凯伦基尔
克连基尔 凯伦基尔
克伦德尔 凯伦德瓦
凯伦瓦 凯伦德瓦
克拉维乌斯 克拉维斯
克里萨琉斯 克里萨琉
克鲁克什 克洛许
凯利厄斯 凯利乌斯
号号 号
赫斯帕蒂安 赫斯帕提安
凯斯宾 卡斯宾
切尔文 切尔万
加利瓦 加瓦尔
加利瓦尔 加瓦尔
基瓦尔 加瓦尔
博拉里恩 博拉里昂
吉拉尔杜斯 吉拉杜斯
哈斯奎恩 哈斯昆
哈斯奎因 哈斯昆
塔里克斯 塔里库斯
塞尔吉奥 塞奥吉尔
多米尼库斯 多米尼克斯
多里肯 多里坎
奥伯代伊 欧泊戴伊
欧伯戴伊 欧泊戴伊
奥特玛拉 奥特拉玛
奥留斯 艾利斯
奥迪利奥 奥迪里奥
安达鲁斯 安达卢斯
阿达卢斯 安达卢斯
巴达维亚 巴达维安
戈文尼斯 戈文尼斯克
斯克莱沃克 斯科莱沃克
斯卡沃克 斯科莱沃克
泰特斯 泰图斯
普雷托 普瑞托
梅里克斯 梅里库斯
汉斯皮尔 汉斯派尔
特北才 特北凯
特贝凯 特北凯
特贝才 特北凯
索卢斯 索鲁斯
索波利斯 索托波利斯
维泰利乌斯 维特利乌斯
维特留斯 维特利乌斯
维特里乌斯 维特利乌斯
莱西库斯 莱西克斯
赖斯克斯 莱西克斯
雷西克斯 莱西克斯
阿尔库斯 阿尔奎斯
马里乌斯 马利乌斯
